Column1;userName;content;score;reviewCreatedVersion
75;Said Mustofa;"Mau daftar gabisa, setiap masuk halaman di data rekening pasti ""HMAC signature cannot be verified, a valid date or x-date header is required for HMAC Authentication""";1;2.0.0
77;Syahid Naufal;Metode pembayaran terbatas dan dikenai biaya. Tidak bisa menambah rekening akun;1;2.0.0
91;Andi Yuswandi;Kagk bisa switching produk padahal udh semua di switch dan udh mencapai saldo minimal;1;2.0.0
97;Dewi Rosalin;awalnya ga bisa login. abis instal ulang udah bisa login tapi malah ke force close terus;1;2.0.1
99;Josephine Sulistiorini;foto e-ktp tidak berhasil di-scan berkali-kali;1;2.0.1
102;Dank ln Donutz;"Didnt receive my OTP code despite clicking ""re-send"" option 4 times.";1;2.0.0
107;Phailyn E;Getting tired of failed selfie attempts, failed twice saying there was an error with my selfie, doesn't match my KTP photo. Well I only have one face from my first KTP photo till now, are you saying my face isn't the same? I don't have any surgery done. Uninstalling, seriously infuriating;1;2.0.0
112;van chan;Serba nunggu lama utk semua proses;1;2.0.0
120;Stefanus Diptya;Its customer service always using reply template as solution to non-templated issue both from phone and email. They seems forget what the purpose of Customer Service, they don't listen carefully to the real issue of the customer that facing on. So I was having OTP issue for months. And they always blame whether the number was the one that registered to Bareksa or not, whether the phone need to be restarted or not and so on blaming the things on customer side. The thing is, my phone and my number is in perfect condition that it can receive OTPs from other applications/services flawlessly.;1;2.0.0
123;Hadi Prai;UI yang baru gak intuitif, yang lama aja udah enak knp harus diubah2. Jadinya malah belibet sekarang.;1;2.0.0
137;Lutfi Sani;Jangan investasi di sini. Lu bisa invest, lu bisa cuan tp ketika lu jual, dana investasi lu raib;1;1.8.4
155;Himawaru Akane;Udh berbulan2 profil msh dalam proses verifikasi. CS pun tidak jawab2 email;1;1.10.5
160;ardhi art;Beli Reksadana gamasuk2, mau ganti rekening aja kudu via email dan cs-nya lemot parah, ga bales2!;1;1.10.11
162;G S;Virtual bca ga selayaknya ada biaya administrasi, payah;1;1.10.11
171;Kamal Mahmud;Saya ingin menjual sukuk ritel, sudah kontak via email tapi tidak digubris selama berbulan2;1;1.10.11
172;Zka June;I can't find where do I buy gold in this new update;1;1.10.11
179;SugarPotum;Baru install sekarang buat kasih review. SAYA GAPERNAH INSTALL DAN PAKAI TAPI DAPAT OTP DARI SINI, KOK BISA?;1;1.10.11
213;Didi Aries Wijaya;I will never use BAREKSA again due to the long days of redemption.;1;1.10.10
217;arie anggara;Update terbaru selalu gagal memuat data user;1;1.10.10
221;Sev Sevoo;Ribed banget foto ktp, selfie, norek bank, nomer hp. siapa yang menjamin itu data diri ga kesebar ? Pfftt;1;
234;Roeeen;Since I update the app, I cannot login, it takes so long time to show the loading page and then stuck in the loading page, (I use Huawei P30 Pro), please solve it, thx;1;1.10.6
278;Andre Wijaya;Kenapa saldo saya di Robo Advisor bisa hilang dari HOME?? Saya contact ke CS, WA dan IG, silent semua. Kenapa? Kalo mau ada update, kok tidak ada pemberitahuan terlebih dahulu jg.;1;1.9.9
292;Harmony Shieh;Aplikasi jelek banget.... Dari web SELALU kena recaptha terus sudah itu balik ke web site awal lagi lalu recaptha terus gak jadi pakai....;1;
305;Bagas Utomo;Bintang 1 dulu karena tidak bisa menambahkan rekening baru. Nanti ditambah bintangnya kalau sudah bisa menambah rekening baru.;1;1.9.9
309;Indra Octama;Saya tidak bisa buka halaman obligasi ORI dan SBR , btw saya sudah jadi investor disana, tolong diperbaiki, saya udah clear cache tapi hasil tetap sama;1;1.9.7
313;Kienan Bass;Dana dari proses penjualan reksadana tidak cair2. sudah T+7 dari max T+2 konfirmasi sukses penjualan, saya harus menghubungi CS yang malah meminta data2 validasi yg tidak relevan. Sampai sekarang T+10 dana saya belum juga cair ke rekening bank. Pengalaman pertama dan yg terakhir untuk saya pakai Bareksa.;1;1.8.4
316;Sun Wukong;Penipu;1;
317;Shelly Shelly;Already reinstall ..still cant login apps;1;1.9.3
319;Aji Putro Prakoso;Aplikasi bapuk, tidak dapat registrasi, ketika sudah centang setuju di term and conditions, terus klik lanjut, malah eror;1;1.9.3
322;Vivin Oktania;Mau daftar aja susah woiii. Udh next next masih balik ke halaman yang sama. Sampah;1;1.9.3
323;R. Candra;Setelah dicoba ternyata jual beli nya tidak realtime. Beli pas rendah di approve nya 4 hari kemudian harga pas lagi tinggi;1;1.9.3
328;David Saputra;Verifikasi pengguna dari 4 bulan lalu, sampai detik ini belum selesai. Apa sebutan yang pantas buat proses kayak gini? Biar bintang yang berbicara aja deh;1;1.9.3
346;O L;Ga bisa login;1;1.8.4
371;Herry Hernandez;Aplikasi tidak support landscape di Tablet;1;1.8.1
375;Generasi Inspirasi;TOLONG DONK CSNYA DIPERBAIKIN, UDAH DIJELASIN MASALAHNYA APA, TETEP AJA NANYA HAL YANG SERUPA TERUS. BUKANNYA KASIH SOLUSI, MALAH KGK BERES BERES MASALAHNYA. UNTUK ROBO ADVISOR KALAU EMANG BELUM SIAP JGN DIPUBLISH, DANA YANG DIMASUKAN TIDAK SESUAI DENGAN PORTOFOLIO.;1;1.8.1
386;August Leonard;Tidak dapat di buka aplikasi nya;1;1.8.1
407;Gigih Muhammad W.;Aplikasi stuck lama di halaman opening (tidak bisa terbuka). Sudah mencoba clear cache, clear data, bahkan mencoba diinstall ulang, sudah dicoba diinstall di hp lain juga masih mengalami masalah yg sama. Mohon segera di perbaiki.;1;1.7.10
409;Debora Plautilda;Since the beginning of August I've been trying to make an account on this app but everytime I'm prompted to fill in my bank account, the app goes back to its home page so up till now I haven't had account here.;1;1.7.10
432;Tridiya Febriani;Niatnya mo daftar. Tp pas masukin rek bank selalu ada invalid HMAC verification. Padahal rekening bank milik pribadi. Ntah apalah itu. Yo wis gak jd daftar.;1;
458;Bagus Widianata;Aplikasi error padahal sandi udh bener tapi gak bisa login;1;1.7.10
466;Yosafat Marthin;Failed log in many times. Bad server.;1;1.7.10
469;Listya Bonjep;A terrible customer service using reply template as solution to non-template issue. Have been emailing them to process my registration review because according to them I haven't upload my ID while on the app it said that the ID application have been successful and currently under review... For almost 2 years now. Ipotgo has a better customer service that can understand my request, definitely not a chat bot and Bibit has an excellent and easy user experience. I recommend those two apps instead.;1;1.7.6
497;HOLIMA;Saya waktu mau daftar, ktp nya gak bisa difoto. Jadinya gak bisa daftar. Mohon diperbaiki;1;1.7.6
514;Eden eden;uang uang auto jadi kaya nama nya bukan eden lagi tapi eden surtan;1;
555;levin hale;failed to register so many times. crashed everytime i choose my bank.;1;1.7.2
566;Arnold Saputra;Disuruh update padahal d google play udh versi terbaru;1;1.7.1
573;luthfi badri;Gk bisa dibuka;1;1.7.2
582;Wahyu Joko Samudro;Setelah update kemarin gak bisa dibuka, malah cuma masuk logo nutup lagi, mbuka lagi, nyampe logo nutup lagi, gitu terus...njay...;1;1.7.1
586;cristian rahadiansyah;Not working properly and no solution from the call center;1;
588;Hans Admaja;Notifikasi malah diarahkan ke install aplikasi play store, padahal sudah install. Aneh sekali.;1;1.7.1
593;Jerry;"Still failed to register at ""Langkah 1"" many times, please fix it. Thanks";1;1.7.1
607;fery Yunianto;Di update malah ngelop2;1;1.7.0
609;Yonathan Andrew;App crashed, cant open.. Its just start relaunch app..;1;1.7.1
612;Gery Arland;Tolong bug nya di hilangkan dong, jadinya kalau buka aplikasi nya tidak keluar masuk;1;1.7.0
618;Ullil Ngopi;Setiap kali open app, nutup2 sendiri. Tdk bisa digunakan. Udah restart bbrp kali. Udah instal ulang bbrp kali juga. Gak solved. Pls fix this issue.;1;1.7.1
619;Nadia F;Bug muluuuuu parah apps;1;
621;Ridhotul Islam Yusnida;Terlalu sering harus minta update. Jadi setiap buka selalu error;1;1.7.1
630;Citra Simanjuntak;Apa yg salah sama aplikasi😑tetap gk bisa2 daftar, selalu gagal;1;1.7.0
672;Zalvin Prakoso;Poor application compatibility and poor choices of investment platform;1;
675;wahid er;always crash after login..;1;
681;Elny Ulzee;Mao daftar baru gak bisa2. Ngulang2 trs dri awal ngisi identitas, sampe 4-5x. Dikira ga capek ngetik mulu. Mending hapus.;1;1.6.3
683;Jonathan Lintang;Cannot register, always crashed, when trying to take my identity picture using camera, i think this is a crucial bug that you need to solve;1;1.6.3
687;Eiji;Salah satu reksa hilang dari portofolio, tidak ada detail transaksi mengenai reksa tersebut, tidak tahu uang ke mana. Jawaban cs hanya berulang2 tentang likuidasi tanpa menjelaskan seperti apa prosesnya. Sudah satu bulan tidak tahu ke mana uang reksa tersebut, apakah sudah kembali ke rekening saya atau belum. Not recommended for beginner user, choose other company for your funds.;1;1.6.1
690;agus soken mahendra;Bebrapa kali musti install ulang soalnya pas bka...appsnya kedip2 g bsa kbkak;1;
691;Meyta Y. B;Sudah coba install berkali kali , tapi aplikasi tetap gabisa dibuka . Yg pertama , tertulis tidak ada koneksi internet . Padahal sinyal oke . Coba download lagi , malah cuma ngeblink aja . Sayang sekali;1;
695;Random Message;Sering kelogout sendiri. Pas mau login, otomatis face recognition nyala. Setelah recognized, email+password malah jadi kosong, kayak gagal ngambil dari database. Terus diklik email lagi, eh face recognition lagi. Muter gitu aja siklusnya;1;1.6.1
696;Malinda Vania;Always can't login;1;
698;Mochamad Yusuf;gabisa login dengan autofill username dan password yg tersimpan. harus ketik manual. ga praktis banget.;1;1.6.1
702;Jaribontet;Sebentar2 update mulu, tapi tidak menyentuh hal krusial. Update rekapitulasi return harian belakangan ini malah baru update ke hari berikutnya, bukan di jam 10 malam hari yg sama. Rada telat tuh dibanding aplikasi punya sebelah.;1;1.6.1
707;Yosalfa Adhista;Kedip2 doang, muncul kucing;1;
711;deodoran pes;Setelah dibuka langsung stuck di layar logo bareksa. Update ga pengaruh, downgrade versiion jg ga pengaruh. Koneksi lancar2 saja. Saya jd tidak bisa login;1;1.5.1
714;yeoppo uew;Sudah daftar sampai dapet kode dan log in tapi setelah keluar dari aplikasi minta log in lagi, setelah login password salah terus coba forget password katanya email saya tidak terdaftar Terus kenapa ga ada pilihan investasi emas yaa?;1;1.5.1
721;Agus Wijanarko;aplikasi tidak bisa di buka, blink screen;1;1.5.1
725;arief budiansyah;terlalu lama pencairan dana sudah 8 hari smpe sekarang dana gk masuk2 ke rek...bad bngt;1;1.5.0
729;Devara FT;Verifikasi selalu gagal meski nama dsn segalanya udah bener bener copas dari KTP. Heran padahal di apps lain bisa. Lucu nya cepet banget ditolak nya padahal yg lain aja butuh berhari hari biasanya buat verifikasi.;1;
730;Tita Kinanti;Tidak bisa diakses mulai hari senin. Saya tidak bisa login ke akun saya. Bahkan aplikasi tidak bisa dibuka. Padahal aplikasi sudah saya update. Uninstall dan install ulang pun masih gak bisa.;1;1.5.0
734;Kuro 666;Worst Application ever Cant upload ktp Uses wifi and data but still can't Upload;1;1.4.5
739;Aliong Yue;I can't login after update;1;1.4.5
745;Muhammad Anwar;Selang beberapa hari kumat lagi ngeglitchnya. Ngeblink2 g bsa dbuka. Parah Saya kasih bintang 5 kalo dah stabil setahun dah;1;1.4.4
747;Olaff Wibowo;Update terbaru membuat scroll sangat sulit. Seringkali berpindah tab. Cuma karena hal ini yang membuat saya mengurungkan niat berinvestasi di aplikasi ini & memilih bibit yang ux nya lebih nyaman digunakan. Padahal opsi Reksadana di Bareksa lebih banyak daripada bibit. Sangat disayangkan.;1;1.4.3
748;Aksara Digital;Ngebug banget, gak nyaman dipake di samsung galaxy a50 saya. Waktu milih produk suka lari- lari.;1;
753;Kemas Zamhari;Lupa password, klik lupa password, responnya lingkaran berputar putar sampai bosen nunggu, dan Gagal. CS Bareksa tdk mampu membantu dan menyarankan ganti internet connection yang lebih baik dan stabil. Come on guys, Google speedtest menunjukkan angka 8 Mbps koq dibilang kurang baik apa ❓;1;1.4.1
755;Imam Ekowicaksono;Can't get into the app, always force closed after login;1;1.4.3
767;Stanley Vinci;GAKBISA DAFTAR,UDH CONTACT CS VIA EMAIL UDH 3 HARIAN GAKADA KABAR SAMPE SEKARANG;1;1.4.2
773;Ikramtio Nursultan;Saya pengguna bareksa sudah lama, dr awal Bareksa. Menurut saya terjadi kemunduran d Bareksa.. skrg mau cair atau beli lama bgt. Saya cairin dana skrg 7 Hari Kerja. Bahkan lebih.... disaat beberapa platform investasi lainnya sdh bisa realtime. Came on. Inovasi...;1;1.4.1
774;Daniel Simanjuntak;Lemot bangat;1;1.4.1
777;Farih N. Mubarok;G bisa2 loading error terus. Gmn deh pdhal mau belajar investasi;1;1.4.1
778;Kristian Kevin;Aku butuh cashback langsung bukan cashback yg diundi. 2 tahun lebih bersama bareksa, tidak pernah dapat cahback. Padahal investasiku selalu diatas 20 juta. Akhirnya aku coba2 investasi di BIBIT. Kebetulan ad promo, harus bayar via gopay minim 1,2 jt. Akhirny q coba beli RDPU sucor...gk brselang lama. Taraaaa. Masuk cashback 33rb di akun gopayq. Mantap. Welcome bibit. Goodbye bareksa;1;1.3.0
781;Hula Hoop;Tidak ada produk reksadana saham luar negeri;1;1.4.1
783;Amelia Pravitasari;Couldnt login even before and after update. Make the user feeling insecure about their investment. Nice.;1;1.4.1
788;Brenda Budiono;After updating to latest version 1.4.0, I can't login to the app;1;1.4.0
797;Vianessa Cornelia;I can't access the fund fact and prospectus file. I even can't log in, I had more than 5 minutes loading process and it still not log me in. I'll update the star if the app can work as it has to.;1;1.3.0
803;Agung Jatmiko;kode verifikasi tdk pernah terkirim via sms. Aneh klo beli ga ada verifikasi2..giliran mau ngejual malah ribet..;1;1.3.0
806;Maximus Sakti;Sudah berminggu minggu masih belum terverivikasi dan data tidak bisa dimuat katanya;1;1.3.0
810;Nur Janti;Sudah buat order lalu geser ke aplikasi mbanking untuk bayar, eh tau2 haru ulang order. Udah bayar tapi nomer invoicenya jadi beda.;1;1.2.3
815;Intan Darmawan Saputra;Jual beli tidak real time, pas jual harusnya untung eh pas uang masuk ke rekening jadi rugi karena proses penjualan yang sangat lama. Gak rekomendasi untuk saat ini;1;
816;Rizaldi Ramdlani Pamungkas;Daftar aja gk bisa;1;1.2.2
818;A-ndy;Update harga unit reksadana sangat lambat. Di Bibit jam 7 malem sudah update, di bareksa sampe keesokan pagi nya baru update. Padahal produk reksadana nya sama. Sayang banget, sekarang pembayaran dengan OVO POINT cuma bisa 50%.;1;1.2.2
819;martin asril;Abis register app nya skrg ga bisa dibuka, stuck di loading screen, sudah di email dan di respon, tapi tidak ada solusi;1;1.2.2
821;Hariawan C;Bad service. CS is not helpful at all, reaching out to CS is wasting time;1;1.2.0
822;Tatat Sukarsa;This morning, I couldn't open the app and also couldn't update it. It's just blank white screen;1;1.1.0
836;Antonius Halim;Pencairan lama. Customer service slow respon. Pencairan dari tanggal 4 sampai sekarang tanggal 20 januari belum masum rekening.;1;1.2.0
843;A N;Tidak bisa daftar akun. Setelah klik selesai, loading terus tanpa ada kelanjutan.;1;1.2.0
849;Willianda Saputra;Ini kenapa jadi tidak bisa jual ya??? Saya bolak balik nanya gak ada respon;1;1.2.0
850;Andreas Prayoga;CS nya tidak responsif, Whatapps 3 jam lebih gak dijawab, padahal statusnya online. Email juga gak dijawab. Batal pakai, belum2 mengecewakan gini;1;1.2.0
853;Hilmisedap;Sudah ada apps tapi semuanya serba lama dan masih ribet. Bener2 susah deh kalau ngurus perubahan data. Tidak disarankan make ini buat invest reksadana. Ribet;1;1.2.0
888;013_Martin Adrian;Susah banget dan ribet mau jual sbn, gak bakal pake aplikasi ini lagi buat beli sbn... Susah jualnya, sampe sebulan lebih cs nya tidak banyak membantu. Saya mau pindahin ke welma bca juga belum berhasil.;1;
925;agus willy;Jika proses penjualan dan pencairannya tidak lama. Sy baru ksh bintang 5;1;1.0.80
926;deva evlista;reksadana pendapatan tetap prosesnya lama banget udh 2/3 harian masih dalam proses tp udh kebelii bareksa tolong dongg plis sebelum liburan huhuuu;1;1.0.80
961;Rizki Tri Anggara;Need to add more payment options;1;1.0.79
978;Vigeon Gabbs;Mau pilih bank gimana? Ketik nama bank pas di-enter malah kehapus, ga ada pilihan sama sekali;1;1.0.79
985;Candra Clouseau;Pembelian produk lama Masih bagusan sebelah pny fast respon (B*bit);1;1.0.79
1001;Irvan Mupid;Cs email-nya tidak memuaskan, relatif lama dan relatif mutar-mutar karena template, yg sebelah inisial B juga lebih anti error;1;1.0.78
1015;Khusus Game;"Setelah update malah gak bisa buka porto. Muncul tulisan ""tidak mendapat response server"" melulu";1;1.0.77
1024;Setyowati 22;Aplikasinya berat, mau login pertama ada salah klik di salah satu identitas ,tapi setelah dilakukan pembetulan dan revisi malah salah2 terus , verifikasi di tolak dan saya harus hubungin kemendagri, padahl data2 sudah diupdate. riweh;1;
1030;Yohanes J H;Can't register;1;1.0.77
1031;Yohanes J Simpleman;Gagal daftar...error: token expired 2x, selanjutnyan token tidak terkirim;1;
1032;Ki Anom Dharma Bekti;Kenapa saya tidak bisa memasukkan token ketika mendaftar? Tertulis kode salah padahal sudah sesuai dengan sms.;1;1.0.77
1033;Abdul Aziz Hadyansyah;I am new in bareksa mobile app. and i cant register, because the verification code sent in my phone said its incorrect. But the code i wrote are same as the system send it to the phone messeges. Hopefully it can be fix to imorove the experience. Best regard to yo all.;1;1.0.77
1039;Manik Onya;mau submit gagal teruss....hadehhhhhhhh;1;1.0.77
1046;Ancilla Filema;i can't get my OTP number;1;1.0.75
1051;Reyhand Wicaksono;Selalu gagal ketika di tahap pengiriman kode OTP. Sudah resend kodenya tapi tidak muncul juga. Padahal tahap tersebut di tahap terakhir, jika gagal ya ulang lagi dari awal, isi biodata, foto KTP, dsb. Akhirnya saya tidak pernah menggunakan aplikasi ini. Mohon diperbaiki ya.;1;
1068;B.3.2 YAMES ARKALAUS AWOLA;Knapa hari ini udah jam 8 kok blum ada update transaksi 09 November 2020 dari Bareksa.. mohon info....;1;1.0.75
1069;briant otmen;Semua manager investasi dana kelolaannya 0. Imbal hasil saya hari ini ga ada masuk sama sekali. Ada apa? Error? Dana saya ilang ga????? Pindah Bibit aja lah, ga direspon;1;1.0.75
1075;toko damai;I can't login into my account. And Lupa Pin not working.;1;
1077;Nur Ardiansyah;"my fingerprint suddenly is unreadable as a sign in method as well as my PIN! This is suck, since 2 hours before the update, I was able to sign in without any glitches; 1 star for now.. might change my review once the issue is solved!";1;1.0.75
1095;Hendra Wijaya Djiono;"Buka SBN sekarang cuma bisa melalui app? Tapi kok ngebug dengan pesan ""Terjadi kesalahan saat memuat konten, cobalah beberapa saat lagi""? Notifikasi timenya ada yang 3 minggu lalu, ada yang pake tanggal dan bulan, terus sortingnya juga ngaco. Warnanya ijo terus walau udah diklik, bukan harusnya berubah jd putih?";1;1.0.74
1100;Yeni Ramadanti;This is so bad apps i ever try!!!! Suddenly my account can't login because my email is wrong. I never change email or anything, but why could the wrong email in this apps? Why? I've contacted CS via DM IG/DM Twitter or email ,they answers always same without helping from all of you like I asking with ROBOT NOT HUMAN. I'm very dissapointed with your service, already 1 week not have solution or anything from you!!!!!;1;1.0.74
1109;Jacky Wijaya;Tiba-tiba tidak bisa login. Dengan sidik jari selalu dibilang salah, dengan pin juga selalu dibilang tidak sesuai. Sudah dicoba uninstall dan install beberapa kali tetap tidak bisa.;1;1.0.14
1115;Nelson Riady;Please fix your app, it's been a week i can't look my portfolio 👎;1;1.0.73
1118;Dewi Calico;Parah banget keterangan TIDAK DAPAT RESPON SERVER;1;1.0.73
1121;Muhammad A. Dhofir;mohon ditambah metode pembayarannya, transfer bank pun harus nama yg sama mau pake ovo limit 20 juta & ovo sering error kalau pakai ovo point;1;1.0.73
1123;Tee Hee;Tidak bisa register NIK sudah terpakai. Padahal belum pernah register. Tolong benahi database nya. Apakah ada hubungan dg bareksa tokopedia dan bukalapak? Komplain via email diminta menyebutkan NIK dan Nama lengkap, ya saya nggak mau menyebutkan identitas pribadi via email. Coba di website/apps jika saat input NIK dikatakan sudah terpakai, diberi opsi melaporkan/menolak bahwa belum pernah register dengan NIK tersebut. Kl emg data bareksa, BL, Tokped connected harusnya disatukan, biar jelas;1;1.0.73
1126;Ayu Subar;"Saya baru mau register tapi awal register kaget tulisan agamanya. Tolong ganti tulisan agamanya. HINDU... bukan ""hindhu""..";1;1.0.73
1141;Alberta Titis;udah coba registrasi berulangkali pake app dan website gak pernah dapet OTP;1;
1142;Adnelti Tesa;Kenapa ya verifikasi nya lama kali? Saya daftar dr tgl 8 Oktober tapi kok sampe skrg blm juga di verifikasi?. Tolong penjelasannya! gada org yang mau nunggu lama2 kek gini;1;1.0.72
1150;Nara Dinata;Setelah update unable to log in ... apaa ini. Perbaiki secepatnya. Rating akan sy update juga. Thanks;1;1.0.72
1154;Maruto Harjanggi;Kecewa banget pake Bareksa yang sekarang. Portfolio gagal dimuat terus. Tidak dapat terhubung ke server dll.;1;1.0.72
1161;Ampun bang jago;Kalo salah masukin nomer kalo mau ganti nomer gimana pak;1;1.0.72
1163;Cecilia Xie;Ovo cash is missing but the bareksa app said that we havent paid. Enough of scam;1;
1164;Test game2;My friend's money is missing. She transferred from OVO, the OVO is gone but the Bareksa said she has not transfer any. We will spam 1* so that you guys will be more aware. Better use bibit;1;
1165;Leavy Leaflet;Guys better pake Bibit daripada aplikasi ini. Saya transfer OVO, ovonya kepotong dan uangnya gak masuk. Saya suka transfer 4jt an slalu msuk, kali ini hilang gak berjejak untung sedikit isinya. This app is a scam.;1;
1166;Kurumi Chan;Top up pakai Ovo Points cuma berapa belas ribu ovo points hilang tapi ga masuk di reksadananya seolah gak dibayar. Sekalinya top up pake ovo cash 4jt langsung bs. This app is a scam. Itung² nyumbang lah mungkin emg smiskin itu.;1;
1170;Nanang Sugiarto;update 5 Oct, full of bugs, can't see portofolio. please do not update !;1;1.0.72
1175;Aldien Wannuga;"kenapa muncul tulisan : ""koneksi terputus. tidak dapat akses ke server???????""";1;1.0.72
1181;Agung Aljabari;Update Aja terus tiap minggu;1;1.0.69
1188;Kevin;Tiba2 fingerprint error, pin error cant login. I already reinstalled the apps and try to login, but error cant login. Please check this bugs;1;1.0.71
1189;Novia Putri;Di aplikasi smartphone tidak bisa buka, tulisannya server tidak ditemukan. Tapi jika buka di web bisa. Mohon perbaikannya di aplikasi android;1;1.0.71
1190;Felix Adrian;App tidak bisa dibuka dan error, reksadana tidak lengkap. Web dan app tidak sesuai kinerjanya;1;1.0.71
1191;Heri Sujarwo Doloksaribu;Aplikasinya Error', saya tidak bisa membuka aplikasi bareksa karena saat buka, kemudian masuk dengan menggunakan fingerprint atau pin tetap aja katanya salah padahal pake jari saya sendiri dan pin nya udah benar. Tolong ASAP di perbaiki min. Kalo gini terus aplikasinya bisa berpaling ke sebelah nih saya. Makasih;1;1.0.71
1195;Miss K;Why i can't log in??;1;1.0.71
1201;Dhee Antz;Tolong diperbaiki karena tiba2 nggak bisa dibuka sama sekali;1;1.0.71
1202;Physis Physis;bad apps.. belum juga pakai apps nya data ktp uda bisa ada yang pake... wtf... trus kita yg dirugikan karena data yg d gunakan mala mreka yang minta macem2.. kalo emg ga percaya ya ketemu aja... simple..;1;1.0.71
1203;Burhan Sidqi;I think the app was fine before updated. But after update I cant connect to the server. Please fix it ASAP!;1;
1205;Mell;Ni gimana server down. Kuatir saya uang saya hilang;1;1.0.71
1212;Karin Wijaya;Couldn't log in after updating the app! Please fix this issue!;1;
1222;john way;Tidak bisa koneksi server;1;1.0.71
1224;Wisnu Armananto;Cannot update.. Cannot open app;1;1.0.61
1237;John Alex;App makin hari makin banyak error;1;1.0.69
1260;Benny Hasibuan;Selalu minta update setiap hari;1;1.0.69
1269;almsd _;Not response to server;1;1.0.68
1272;Catherine Ng;Pendaftaran sangat sulit, bolak balik upload data di app, tetap ga di approve alasannya foto ga jelas, disuruh upload di web. Uda upload ke web, masih ga di approve, alesannya foto ga jelas. Foto uda jernih jelas gtu, masih aja dibilang ga jls, apa harus foto buku tabungan ke studio foto dulu? Urusan daftar aja dipersulit, gmn klo mslnya ada mslh, ga kelar2 ntr. Sori uninstall aja, cape ud sebulanan ngurus daftar doang. Mending pake app lain. Note: sy br tau catherine itu nama bapak2.;1;1.0.28
1273;Aris Purbo;lupa password tidak berfungsi..bolak balik ngetik terus tombol kirim di tekan sama sekali gak bisa.. edit: saya tidak tau karena sudah saya uninstall dari dulu.;1;1.0.23
1276;Archie Anugrah;Informasi dan komunikasi promo tidak clear;1;1.0.68
1291;V F Nuraini;I can login through website, but unable to login on mobile device.;1;1.0.67
1299;anggriani andryani;"Tidak bisa login.. semua tombol alternatif login error. Jadi pertimbangan buat tarik dana nih, takut jadi kyk ""sebelah""";1;1.0.66
1300;Sandy Sipayung;Hari ini tidak bisa login menggunakan PIN maupun Fingerprint, aplikasi sudah paling update. Mohon bantuannya;1;1.0.66
